Time, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17, T18, T19, T20, T21, T22, T23, T24, T25, T26, T27, T28

0.042, 0.109, 0.206, 0.109, 0.109, 0.109, 1.077, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.077, 0.109, 0.109, 0.302, 0.333, 0.174, 0.109, 0.222, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.042, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.302, 0.333, 0.175, 0.109, 0.221, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.042, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.302, 0.333, 0.175, 0.109, 0.221, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.043, 0.109, 0.205, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.205, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.303, 0.333, 0.174, 0.109, 0.221, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.043, 0.109, 0.205, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.205, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.303, 0.333, 0.174, 0.109, 0.221, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3.043, 0.109, 0.206, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.302, 0.334, 0.175, 0.109, 0.222, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3.043, 0.109, 0.206, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.079, 0.109, 0.109, 0.302, 0.334, 0.175, 0.109, 0.222, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
4.044, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.302, 0.334, 0.175, 0.109, 0.221, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
4.044, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.078, 0.109, 0.109, 0.302, 0.334, 0.175, 0.109, 0.221, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
5.044, 0.109, 0.206, 0.109, 0.109, 0.109, 1.080, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.080, 0.109, 0.109, 0.302, 0.335, 0.175, 0.109, 0.222, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
5.044, 0.109, 0.206, 0.109, 0.109, 0.109, 1.080, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.080, 0.109, 0.109, 0.302, 0.335, 0.175, 0.109, 0.222, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
6.045, 0.109, 0.206, 0.109, 0.109, 0.109, 1.080, 0.109, 0.109, 0.206, 0.109, 0.109, 0.109, 1.080, 0.109, 0.109, 0.303, 0.333, 0.175, 0.109, 0.222, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
